"SMILES","ID","clogP"
"[H]C1=C([H])C(=C([H])C([H])=C1C(=O)N1C([H])([H])C2([H])[NH+](C([H])([H])[H])C([H])([H])C([H])([H])C2([H])C1([H])[H])C1=NOC(=N1)C1([H])C([H])([H])C1([H])[H]",28494294,1.31
"[H]N(C1=NC(=NS1)N(C([H])([H])[H])C([H])([H])[H])C1([H])C([H])([H])C([H])(C2=C([H])C(=O)N([H])C(=N2)C2([H])C([H])([H])C2([H])[H])C1([H])[H]",30135262,0.23
"[H]N([H])C1=NC(=C([H])C(=N1)N(C([H])([H])[H])C([H])([H])C1=C(OC([H])([H])[H])C([H])=C([H])C(Cl)=C1[H])C1([H])C([H])([H])C([H])([NH+]([H])[H])C1([H])[H]",30212036,2.55
"[H]N1C(=O)OC2(C1([H])[H])C([H])([H])C([H])([H])N(C(=O)C1=C3C([H])=C([H])C([H])=C(Cl)C3=NC(=C1[H])C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H]",30752082,1.64
"[H]C1=C([H])N(C(=[NH+]1)C([H])([H])C([H])([H])C([H])([H])N(C1=NN=C(O1)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]",30774524,0.96
"[H]N(C(=O)N([H])C([H])([H])C([H])([H])[NH+]1C([H])([H])C([H])([H])C([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C1([H])[H])C1=C2C([H])=C(N=NC2=C([H])C([H])=C1[H])C([H])([H])[H]",33305188,2.48
"[H]OC([H])(C([H])([H])OC1=C(C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=NC([H])=C1[H])C([H])([H])[NH+]1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]",33774628,2.47
"[H]C1=NN(C([H])=C1C([H])([H])[NH+]1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([O-])=O",34406958,0.05
"[H]N(C(=O)C1=C([H])N=C(N([H])C1=O)C([H])([H])[H])C([H])([H])C1=NN2C(=C1[H])C([H])([H])[NH+](C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H]",34619802,-0.68
"[H]C1=NN(C([H])=N1)C([H])([H])C1=NN(C(=N1)C([H])([H])C([H])([H])N1N=NN=C1[H])C([H])([H])C1=C([H])C([H])=C(F)C([H])=C1[H]",35657370,0.03
"[H]OC([H])([H])C1([H])C([H])([H])OC([H])([H])C([H])([H])N(C(=O)C2=C([H])C3=C(N=C(O3)C([H])([H])[H])C([H])=C2[H])C1([H])[H]",36756807,-1.03
"[H]N1N=C([H])C(=C1C1([H])C([H])([H])[NH+](C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H]",38903283,4.35
"[H]C([H])([H])N1N=C(C(=C1C([H])([H])[H])C([H])([H])[NH+](C([H])([H])[H])C([H])([H])C1=NON=C1C([H])([H])[H])C([H])([H])[H]",43130490,0.7
"[H]N(C(=O)C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C2(OC([H])([H])[H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])C([H])([H])N3C([H])=C([H])[NH+]=C3C([H])([H])C([H])([H])[H])C2([H])C1([H])[H]",44292558,-0.48
"[H]N(C(=O)C([H])([H])C([H])([H])C1=C2C(=NN1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C1=C([H])C2=C(OC([H])([H])O2)C([H])=C1[H]",48676063,1.59
"[H]C1=C(C(=O)N(C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C2([H])C([H])([H])C([H])([H])S(=O)(=O)C2([H])[H])C2=C(O1)C([H])=C([H])C([H])=C2[H]",49224893,1.62
"[H]N(C([H])([H])C1([H])C([H])([H])N(C(=O)C([H])([H])[NH+]2C([H])([H])C3=C(OC([H])([H])C2([H])[H])C([H])=C([H])C([H])=C3[H])C([H])([H])C([H])([H])C1([H])[H])S(=O)(=O)C1=C([H])C([H])=C([H])S1",51713022,2.51
"[H]N(C1(C([H])([H])C2=C(C([H])=C([H])C([H])=C2[H])C([H])([H])[H])C([H])([H])C1([H])[H])S(=O)(=O)C1=C([H])N(N=C1[H])C([H])([H])[H]",54003573,2.23
"[H]C1=C([H])C([H])=C([H])C(=N1)C1([H])C([H])([H])[NH+](C([H])([H])C2=C(Cl)N(N=C2C([H])([H])C([H])([H])[H])C([H])([H])[H])C1([H])[H]",55678682,1.61
"[H]C1=C([H])C(OC([H])([H])[H])=C(C([H])=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N1C([H])([H])C([H])([H])C2(C([H])([H])N(C(=O)C2([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H]",56589013,1.72
